t = 0.08 , x = 4.5, u = 8.01951e-06
t = 0.08 , x = 4.55, u = 4.63903e-06
t = 0.08 , x = 4.6, u = 2.64737e-06
t = 0.08 , x = 4.65, u = 1.49047e-06
t = 0.08 , x = 4.7, u = 8.27948e-07
t = 0.08 , x = 4.75, u = 4.54004e-07
t = 0.08 , x = 4.8, u = 2.46195e-07
t = 0.08 , x = 4.85, u = 1.32943e-07
t = 0.08 , x = 4.9, u = 7.33333e-08
t = 0.08 , x = 4.95, u = 4.48892e-08
t = 0.1 , x = 0, u = 6.82871e-07
t = 0.1 , x = 0.05, u = 7.86633e-07
t = 0.1 , x = 0.1, u = 1.12441e-06
t = 0.1 , x = 0.15, u = 1.78107e-06
t = 0.1 , x = 0.2, u = 2.91675e-06
t = 0.1 , x = 0.25, u = 4.79765e-06
t = 0.1 , x = 0.3, u = 7.84483e-06
t = 0.1 , x = 0.35, u = 1.27071e-05
t = 0.1 , x = 0.4, u = 2.03665e-05
t = 0.1 , x = 0.45, u = 3.22866e-05
t = 0.1 , x = 0.5, u = 5.0619e-05
t = 0.1 , x = 0.55, u = 7.84818e-05
t = 0.1 , x = 0.6, u = 0.000120333
t = 0.1 , x = 0.65, u = 0.000182455
t = 0.1 , x = 0.7, u = 0.000273581
t = 0.1 , x = 0.75, u = 0.000405668
t = 0.1 , x = 0.8, u = 0.000594854
t = 0.1 , x = 0.85, u = 0.000862592
t = 0.1 , x = 0.9, u = 0.00123696
t = 0.1 , x = 0.95, u = 0.00175412
t = 0.1 , x = 1, u = 0.00245989
t = 0.1 , x = 1.05, u = 0.00341135
t = 0.1 , x = 1.1, u = 0.00467832
t = 0.1 , x = 1.15, u = 0.00634461
t = 0.1 , x = 1.2, u = 0.00850886
t = 0.1 , x = 1.25, u = 0.0112847
t = 0.1 , x = 1.3, u = 0.0147999
t = 0.1 , x = 1.35, u = 0.0191946
t = 0.1 , x = 1.4, u = 0.024618
t = 0.1 , x = 1.45, u = 0.0312232
t = 0.1 , x = 1.5, u = 0.0391612
t = 0.1 , x = 1.55, u = 0.0485724
t = 0.1 , x = 1.6, u = 0.0595773
t = 0.1 , x = 1.65, u = 0.0722655
t = 0.1 , x = 1.7, u = 0.0866851
t = 0.1 , x = 1.75, u = 0.102831
t = 0.1 , x = 1.8, u = 0.120636
t = 0.1 , x = 1.85, u = 0.13996
t = 0.1 , x = 1.9, u = 0.160588
t = 0.1 , x = 1.95, u = 0.182227
t = 0.1 , x = 2, u = 0.204505
t = 0.1 , x = 2.05, u = 0.226986
t = 0.1 , x = 2.1, u = 0.249173
t = 0.1 , x = 2.15, u = 0.270532
t = 0.1 , x = 2.2, u = 0.290508
t = 0.1 , x = 2.25, u = 0.30855
t = 0.1 , x = 2.3, u = 0.324136
t = 0.1 , x = 2.35, u = 0.336796
t = 0.1 , x = 2.4, u = 0.346138
t = 0.1 , x = 2.45, u = 0.351866
t = 0.1 , x = 2.5, u = 0.353797
t = 0.1 , x = 2.55, u = 0.351866
t = 0.1 , x = 2.6, u = 0.346138
t = 0.1 , x = 2.65, u = 0.336796
t = 0.1 , x = 2.7, u = 0.324136
t = 0.1 , x = 2.75, u = 0.30855
t = 0.1 , x = 2.8, u = 0.290508
t = 0.1 , x = 2.85, u = 0.270532
t = 0.1 , x = 2.9, u = 0.249173
t = 0.1 , x = 2.95, u = 0.226986
t = 0.1 , x = 3, u = 0.204505
t = 0.1 , x = 3.05, u = 0.182227
t = 0.1 , x = 3.1, u = 0.160588
t = 0.1 , x = 3.15, u = 0.13996
t = 0.1 , x = 3.2, u = 0.120636
t = 0.1 , x = 3.25, u = 0.102831
t = 0.1 , x = 3.3, u = 0.0866851
t = 0.1 , x = 3.35, u = 0.0722655
t = 0.1 , x = 3.4, u = 0.0595773
t = 0.1 , x = 3.45, u = 0.0485724
t = 0.1 , x = 3.5, u = 0.0391612
t = 0.1 , x = 3.55, u = 0.0312232
t = 0.1 , x = 3.6, u = 0.024618
t = 0.1 , x = 3.65, u = 0.0191946
t = 0.1 , x = 3.7, u = 0.0147999
t = 0.1 , x = 3.75, u = 0.0112847
